"name","type","mean","sd","median","lquartile","uquartile","iqr","min","max","n","missing","missing_percent","entropy"
"Construction.extraction.maintenance.and.repair.occupations","double","11.40064","3.436385","11","9.1","13.15","4.05","1.8","30","3111","0","0","6.983531"
"Production.transportation.and.material.moving.occupations","double","16.08177","5.945635","15.7","11.65","20","8.35","1.2","39.5","3111","0","0","7.825283"
"School.Enrollment","double","75.61312","5.103065","75.8","72.9","78.6","5.7","37.8","100","3111","1","0.03214401","7.5629"
"Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","double","42.96762","14.39559","43.1","34.7","51.6","16.9","0","100","3111","7","0.225008","8.886243"
"Less.Than.High.School","double","16.92508","7.343229","15.4","11.5","21.6","10.1","0.7","52.1","3111","1","0.03214401","8.010892"
"At.Least.Bachelor.s.Degree","double","19.00756","8.657606","16.8","13.1","22.575","9.475","3.7","71","3111","1","0.03214401","8.06886"
"Graduate.Degree","double","6.445981","3.852651","5.3","4","7.7","3.7","0","40.6","3111","1","0.03214401","6.783531"
"life_expectancy","double","77.19335","2.18307","77.38826","75.67898","78.79196","3.112977","68.43128","83.19254","3111","0","0","11.59802"
"Infant.mortality","double","7.226126","2.275963","6.8","5.6","8.4","2.8","3.1","19.9","3111","1779","57.18419","6.334739"
"Injury.deaths","double","77.36111","24.27321","74.2","61.2","89.875","28.675","25.5","277","3111","113","3.632273","9.484505"
"Poor.physical.health.days","double","3.807265","0.73724","3.7","3.3","4.3","1","2.2","6.5","3111","0","0","4.872745"
"Poor.mental.health.days","double","3.677403","0.6136605","3.7","3.2","4.1","0.9","2.1","5.6","3111","0","0","4.626163"
"Low.birthweight","double","0.0819841","0.02133248","0.08","0.07","0.09","0.02","0.03","0.28","3111","92","2.957248","3.010956"
"Teen.births","double","41.625","18.92892","39.9","27.2","53.6","26.4","3.7","123.7","3111","95","3.05368","9.276673"
"Children.in.single.parent.households","double","0.3244249","0.103055","0.318","0.26","0.379","0.119","0","1","3111","0","0","8.498972"
"Adult.smoking","double","0.1834976","0.03696893","0.178","0.157","0.2065","0.0495","0.069","0.4","3111","0","0","7.102845"
"Adult.obesity","double","0.3094709","0.04468939","0.312","0.285","0.337","0.052","0.107","0.466","3111","0","0","7.412055"
"Diabetes","double","0.1114564","0.02275311","0.109","0.096","0.125","0.029","0.051","0.228","3111","0","0","6.455858"
"Sexually.transmitted.infections","double","344.9007","226.5571","287.1","194.9","428.9","234","34.7","2257.1","3111","174","5.593057","11.05188"
"HIV.prevalence.rate","double","184.5944","241.4084","107.846","63.019","217.224","154.205","10.262","3623.475","3111","778","25.00804","11.17736"
"Uninsured","double","0.1739582","0.05391734","0.171","0.135","0.2075","0.0725","0.03","0.395","3111","0","0","7.677604"
"Violent.crime","double","248.2768","196.2662","198.595","111.8925","331.185","219.2925","0","1885.3","3111","149","4.789457","11.43229"
"Homicide.rate","double","6.285328","4.681599","5","3.2","8","4.8","0.6","44.8","3111","1891","60.78431","6.952486"
"winter_PRCP","double","7.896892","5.185619","7.625","3.2","11.0575","7.8575","0.7166667","40.70333","3111","510","16.39344","10.81703"
"winter_TAVG","double","34.09402","11.42086","33.7","25.8","42.2","16.4","4.7","69.73333","3111","1390","44.68017","9.540061"
