"feature.1","feature.2","correlation","p_value"
"Poverty Rate","Children in Single Parent Households Rate",0.605339514946455,2.26947531998098e-310
"White not Latino Population","Latino Population",-0.604747557165857,1.31512514189871e-309
"Production, Transportation, and Material moving Occupations","At Least Bachelor Degree",-0.603422332079502,6.6280764577771e-308
"Children in Single Parent Households Rate","Diabetes Rate",0.60315367166268,1.4639953539781e-307
"Child Poverty","Adult Smoking Rate",0.599805714733676,2.6721105398927e-303
"Child Poverty","Avg. No. of Mentally Unhealthy Day",0.59963658254417,4.37310237693478e-303
"Child Poverty","Adults 65 and Older Living in Poverty",0.594511986755928,1.15524965619298e-296
"Homogeneity Index","Winter Avg. Temperature",-0.593433573387553,2.50833696105017e-295
"Life Expectancy","Homicide Rate",-0.59164278271849,4.05453891754185e-293
"African American Population","Homogeneity Index",-0.590867493620645,3.62909053574983e-292
"Children Under 6 Living in Poverty","Teen Birth Rate",0.586948686529179,2.14658923702063e-287
"At Least Bachelor Degree","Life Expectancy",0.586601682366662,5.63839887461888e-287
"Uninsured Rate","Teen Birth Rate",0.581015978868298,2.7102132364382e-280
"Avg. No. of Mentally Unhealthy Day","Winter Avg. Precipitation",0.580707736476617,6.28015251776887e-280
"Management, Professional, and Related Occupations","Less Than High School",-0.578666722529371,1.60235540026337e-277
"Children Under 6 Living in Poverty","Life Expectancy",-0.576536650527111,4.99438440482514e-275
"White not Latino Population","Children in Single Parent Households Rate",-0.575032249210235,2.80983227468804e-273
"Median Earning","Child Poverty",-0.573543626608233,1.48454584473539e-271
"Children Under 6 Living in Poverty","Less Than High School",0.573203035226169,3.66899651170403e-271
"Infant Mortality","Homicide Rate",0.572953741724007,7.11008206154289e-271
"Adult Smoking Rate","Diabetes Rate",0.572228976512571,4.85080132621599e-270
"Diabetes Rate","Low Birth Weight Rate",0.569856347431173,2.51954743556943e-267
"Gini Coefficient","Poverty Rate",0.56849196534142,8.97159900602993e-266
"Homogeneity Index","Sexually Transmitted Infections Rate",-0.566033658498584,5.37180856829999e-263
"Poverty Rate","Unemployment Rate",0.5648735228525,1.0781079418552e-261
"Unemployment Rate","Diabetes Rate",0.564290416478866,4.84609591031187e-261
"Children in Single Parent Households Rate","Low Birth Weight Rate",0.563489612229209,3.79919517003355e-260
"At Least Bachelor Degree","Diabetes Rate",-0.562892138780764,1.75924533307681e-259
"Children Under 6 Living in Poverty","Children in Single Parent Households Rate",0.562789704772688,2.28722972477222e-259
"Child Poverty","Unemployment Rate",0.56239921063206,6.21535274224666e-259
"Life Expectancy","Children in Single Parent Households Rate",-0.560863593095181,3.12732769848486e-257
"Less Than High School","Uninsured Rate",0.560524527416049,7.40815439014788e-257
"Uninsured Rate","Winter Avg. Temperature",0.558827348262356,5.46934328048677e-255
"White not Latino Population","Winter Avg. Temperature",-0.557815373418482,7.02687905180235e-254
"Avg. No. of Physically Unhealthy Day","Children in Single Parent Households Rate",0.557423528941584,1.88400761322038e-253
"African American Population","HIV Prevalence Rate",0.550542577321374,5.06098430734109e-246
"Low Birth Weight Rate","Homicide Rate",0.550298216465353,9.22325086629836e-246
"Winter Avg. Precipitation","Winter Avg. Temperature",0.548468390734025,8.12512940854074e-244
"Children Under 6 Living in Poverty","Adult Smoking Rate",0.546692974479658,6.10172686082007e-242
"At Least Bachelor Degree","Teen Birth Rate",-0.54661533416196,7.36576985115461e-242
"Graduate Degree","Adult Obesity Rate",-0.546166828167669,2.18339925723409e-241
"Adults 65 and Older Living in Poverty","Avg. No. of Physically Unhealthy Day",0.546147024195561,2.29062638448424e-241
"Diabetes Rate","Homicide Rate",0.545667235933364,7.31068844048506e-241
"Adult Obesity Rate","Diabetes Rate",0.543605932313588,1.04717650757381e-238
"Median Earning","Children Under 6 Living in Poverty",-0.53782501083271,9.71050914605193e-233
"Sexually Transmitted Infections Rate","Homicide Rate",0.534682780503349,1.5215819690451e-229
"Median Earning","At Least Bachelor Degree",0.533676937858945,1.57735786797853e-228
"Child Poverty","Low Birth Weight Rate",0.532493056336903,2.44875593892231e-227
"Unemployment Rate","Children in Single Parent Households Rate",0.531578694701008,2.02106083636986e-226
"Children Under 6 Living in Poverty","Avg. No. of Mentally Unhealthy Day",0.531488588700833,2.48746513098717e-226
"Children in Single Parent Households Rate","Homicide Rate",0.530772050354965,1.2938809979168e-225
"Management, Professional, and Related Occupations","Life Expectancy",0.528327752803274,3.48260494673573e-223
"Infant Mortality","Adult Obesity Rate",0.525545548177123,1.92181007388752e-220
"Less Than High School","Avg. No. of Mentally Unhealthy Day",0.525291073241375,3.41363039329444e-220
"Adults 65 and Older Living in Poverty","Life Expectancy",-0.524894146116001,8.35542946863733e-220
"African American Population","Diabetes Rate",0.524748166244263,1.16094644693305e-219
"Asian American Population","Other race(s) Population",0.524625535264333,1.53022184852146e-219
"Avg. No. of Mentally Unhealthy Day","Children in Single Parent Households Rate",0.52430825119776,3.12502338350343e-219
"Poverty Rate","Low Birth Weight Rate",0.523306357359615,2.96413679044305e-218
"Sexually Transmitted Infections Rate","Crime Rate",0.523260978557462,3.28151221439298e-218
"Voting Power","Asian American Population",0.522717235425936,1.10886989134601e-217
"African American Population","Infant Mortality",0.522214725791086,3.40981942513874e-217
"Avg. No. of Physically Unhealthy Day","Low Birth Weight Rate",0.519694179344367,9.27712824284409e-215
"Children in Single Parent Households Rate","Teen Birth Rate",0.518654438670775,9.24211077090671e-214
"Unemployment Rate","Life Expectancy",-0.515826686058315,4.60780444010605e-211
"Adults 65 and Older Living in Poverty","Teen Birth Rate",0.515753915524309,5.40234796036221e-211
"Asian American Population","Graduate Degree",0.515373524291139,1.24009152234572e-210
"Infant Mortality","Low Birth Weight Rate",0.514631639770332,6.25101530760028e-210
"Adult Smoking Rate","Teen Birth Rate",0.513090265916222,1.77803428322125e-208
"Less Than High School","Winter Avg. Temperature",0.511726968329587,3.38634273524881e-207
"Children Under 6 Living in Poverty","Adults 65 and Older Living in Poverty",0.51060932826809,3.75472824584642e-206
"Production, Transportation, and Material moving Occupations","Graduate Degree",-0.5103170647323,7.03339442163611e-206
"Less Than High School","Adult Smoking Rate",0.509479009062298,4.23960951004142e-205
"Asian American Population","At Least Bachelor Degree",0.50908313413118,9.88770358689097e-205
"Child Poverty","Homicide Rate",0.508640719776528,2.544054699185e-204
"Unemployment Rate","Winter Avg. Precipitation",0.507315164776408,4.28189677253438e-203
"Homogeneity Index","Crime Rate",-0.505195142551578,3.81406312252266e-201
"Poverty Rate","Homicide Rate",0.503481105712338,1.40515842642748e-199
"White not Latino Population","Teen Birth Rate",-0.501481500415,9.19942590580357e-198
"Median Age","Age Dependency Ratio",0.501478678458864,9.25369293671345e-198
"African American Population","Life Expectancy",-0.501477031234461,9.28551714523538e-198
"Infant Mortality","Diabetes Rate",0.499884228874971,2.54529313248822e-196
"Republican Win 2016","White not Latino Population",0.499007138614695,1.56422320255686e-195
"Voting Participation Rate","Avg. No. of Physically Unhealthy Day",-0.498809894284511,2.35135043719619e-195
"Infant Mortality","Adult Smoking Rate",0.496690654750821,1.84474081829897e-193
"Management, Professional, and Related Occupations","Avg. No. of Physically Unhealthy Day",-0.496067703680768,6.61185182865263e-193
"Low Birth Weight Rate","Teen Birth Rate",0.495243129017739,3.56762161705065e-192
"Management, Professional, and Related Occupations","Teen Birth Rate",-0.49506659920795,5.11494311616687e-192
"Homogeneity Index","Children in Single Parent Households Rate",-0.4947096879026,1.05900539296973e-191
"Production, Transportation, and Material moving Occupations","Adult Obesity Rate",0.494537432395097,1.50418835125618e-191
"Gini Coefficient","Child Poverty",0.493661458633783,8.93254981343454e-191
"Voting Participation Rate","Less Than High School",-0.491607386692183,5.70621200541947e-189
"Adults 65 and Older Living in Poverty","Adult Smoking Rate",0.491027871843853,1.83430180814821e-188
"Less Than High School","Low Birth Weight Rate",0.490033207583964,1.35396849391839e-187
"Life Expectancy","Winter Avg. Temperature",-0.48890820481538,1.28840123366216e-186
"Children Under 6 Living in Poverty","Unemployment Rate",0.488708608812702,1.91982984788691e-186
"African American Population","Winter Avg. Temperature",0.488042632864811,7.25058554636927e-186
"Uninsured Rate","Diabetes Rate",0.487379253761401,2.716214815936e-185
"Median Earning","Management, Professional, and Related Occupations",0.486230362453446,2.65684176087833e-184
"White not Latino Population","Crime Rate",-0.485279975654015,1.74097403367707e-183
"Children in Single Parent Households Rate","Adult Smoking Rate",0.485118738688673,2.393572596752e-183
"Poverty Rate","Sexually Transmitted Infections Rate",0.484787535120254,4.60053328204766e-183
"Teen Birth Rate","Winter Avg. Temperature",0.482006190245342,1.08009185632572e-180
"At Least Bachelor Degree","Adult Smoking Rate",-0.481975463776321,1.14690611897533e-180
"Management, Professional, and Related Occupations","Adult Obesity Rate",-0.481783191210112,1.66949150555164e-180
"Avg. No. of Physically Unhealthy Day","Adult Obesity Rate",0.481137439918869,5.88098340882839e-180
"Poverty Rate","Uninsured Rate",0.479697669754492,9.64995672260012e-179
"Voting Participation Rate","Teen Birth Rate",-0.47839347052677,1.20275629646883e-177
"Avg. No. of Physically Unhealthy Day","Winter Avg. Precipitation",0.47814789440527,1.93176393836204e-177
"Children in Single Parent Households Rate","Crime Rate",0.477236978666539,1.1162839854288e-176
"Management, Professional, and Related Occupations","Diabetes Rate",-0.477109021756927,1.42758965233996e-176
"Unemployment Rate","Less Than High School",0.476486242661175,4.71955229220251e-176
"Median Earning","Avg. No. of Physically Unhealthy Day",-0.475782014578642,1.81894370469159e-175
"Diabetes Rate","Winter Avg. Temperature",0.475445216814825,3.46378244048973e-175
"Child Poverty","Uninsured Rate",0.47481881027543,1.14547943861708e-174
"White not Latino Population","HIV Prevalence Rate",-0.474602261892775,1.73103033808316e-174
"Less Than High School","Graduate Degree",-0.473936345224712,6.15066656145607e-174
"White not Latino Population","Poverty Rate",-0.473663550420086,1.03307632178133e-173
"At Least Bachelor Degree","Avg. No. of Physically Unhealthy Day",-0.473378458253233,1.77531992045335e-173
"Avg. No. of Physically Unhealthy Day","Homicide Rate",0.472787036384403,5.44968233020661e-173
"Low Birth Weight Rate","Winter Avg. Temperature",0.472323074651572,1.31165441616216e-172
"White not Latino Population","Homicide Rate",-0.470768983834816,2.46173442319784e-171
"Teen Birth Rate","Homicide Rate",0.470653021107238,3.06194429886939e-171
"Avg. No. of Mentally Unhealthy Day","Low Birth Weight Rate",0.470258274589599,6.43103279058579e-171
"African American Population","Crime Rate",0.470008660984015,1.0276724343792e-170
"Latino Population","Uninsured Rate",0.468283255155126,2.59660037611619e-169
"Child Poverty","At Least Bachelor Degree",-0.467228515065067,1.85278461433189e-168
"Homogeneity Index","HIV Prevalence Rate",-0.465855752547741,2.36639032931201e-167
"White not Latino Population","Low Birth Weight Rate",-0.465772237800948,2.76200816954589e-167
"Avg. No. of Physically Unhealthy Day","Winter Avg. Temperature",0.463786353022088,1.07699515795246e-165
"Sales and Office Occupations","Farming, Fishing, and Forestry Occupations",-0.462480134117233,1.18294712217529e-164
"Median Earning","Graduate Degree",0.462223020175759,1.89361672801504e-164
"Graduate Degree","Teen Birth Rate",-0.461117645886729,1.42473472370728e-163
"White not Latino Population","Diabetes Rate",-0.460841989805326,2.35394760479621e-163
"Children Under 6 Living in Poverty","Low Birth Weight Rate",0.459025928220986,6.35955868853334e-162
"Median Age","White not Latino Population",0.458487324958698,1.68403921799219e-161
"Avg. No. of Mentally Unhealthy Day","Teen Birth Rate",0.457663017959198,7.44989092098005e-161
"Management, Professional, and Related Occupations","Avg. No. of Mentally Unhealthy Day",-0.457431173267785,1.13101223981913e-160
"African American Population","Child Poverty",0.457202192677891,1.70768267649883e-160
"Median Earning","Diabetes Rate",-0.456348473740108,7.91321841340582e-160
"White not Latino Population","Child Poverty",-0.456187229186808,1.05662180926179e-159
"Life Expectancy","Winter Avg. Precipitation",-0.45588487317575,1.81631857619703e-159
"Child Poverty","Sexually Transmitted Infections Rate",0.455024327524253,8.46273490148621e-159
"Sexually Transmitted Infections Rate","Low Birth Weight Rate",0.454120612226087,4.23927929844177e-158
"Child Poverty","Infant Mortality",0.453423437659433,1.46453507836326e-157
"White not Latino Population","Less Than High School",-0.452743520998174,4.89298105363989e-157
"Latino Population","Homogeneity Index",-0.451269382043665,6.62695857075818e-156
"Adult Obesity Rate","Teen Birth Rate",0.450990084832499,1.08420540589353e-155
"Gini Coefficient","Children Under 6 Living in Poverty",0.450005134617919,6.1303200238515e-155
"School Enrollment","Teen Birth Rate",-0.449330495438084,2.00165961079322e-154
"Republican Win 2016","Graduate Degree",-0.448900067409037,4.25269118971888e-154
"African American Population","Winter Avg. Precipitation",0.448899221014855,4.25899308187713e-154
"Adults 65 and Older Living in Poverty","At Least Bachelor Degree",-0.448205472485201,1.43153703530336e-153
"Graduate Degree","Life Expectancy",0.447660441486708,3.70320765922315e-153
"Infant Mortality","Children in Single Parent Households Rate",0.446536824304896,2.61318074728682e-152
"Unemployment Rate","Adult Smoking Rate",0.445558291186966,1.42427159224934e-151
"Poverty Rate","Infant Mortality",0.444393631923788,1.06402285732476e-150
"White not Latino Population","Uninsured Rate",-0.444368437416838,1.11123589416527e-150
"Median Age","Homogeneity Index",0.443075182539674,1.02690342389816e-149
"Uninsured Rate","Avg. No. of Physically Unhealthy Day",0.442496196759368,2.77029403636012e-149
"Graduate Degree","Diabetes Rate",-0.441677440455341,1.12351924177912e-148
"Children Under 6 Living in Poverty","Homicide Rate",0.440481215569983,8.6291454904214e-148
"African American Population","Poverty Rate",0.44046709190647,8.83894081939438e-148
"Adults 65 and Older Living in Poverty","Low Birth Weight Rate",0.439606924889462,3.80917345863447e-147
"Adults 65 and Older Living in Poverty","Homicide Rate",0.439570906952701,4.04908079618584e-147
"Infant Mortality","Avg. No. of Physically Unhealthy Day",0.439501013997058,4.55848479621032e-147
"HIV Prevalence Rate","Crime Rate",0.439126628955719,8.5957704684357e-147
"Child Poverty","Management, Professional, and Related Occupations",-0.439040318857007,9.94811474386261e-147
"Less Than High School","Adult Obesity Rate",0.438625892909352,2.0052776101348e-146
"Management, Professional, and Related Occupations","Construction, Extraction, Maintenance, and Repair Occupations",-0.438315314440379,3.38879396731823e-146
"Management, Professional, and Related Occupations","Adult Smoking Rate",-0.438262579038826,3.70436180290837e-146
"Unemployment Rate","Low Birth Weight Rate",0.437351337588349,1.72107733892342e-145
"Median Age","Sexually Transmitted Infections Rate",-0.437156402953845,2.38913113288801e-145
"Child Poverty","Adult Obesity Rate",0.436613874090931,5.94534826311278e-145
"Avg. No. of Mentally Unhealthy Day","Adult Obesity Rate",0.43577532479271,2.42510927905434e-144
"Infant Mortality","Teen Birth Rate",0.435460202722473,4.10893592956865e-144
"Life Expectancy","Injury Death Rate",-0.435254856877956,5.79192444041235e-144
"Less Than High School","Children in Single Parent Households Rate",0.434317362828718,2.76817396348131e-143
"Sexually Transmitted Infections Rate","Teen Birth Rate",0.432967049424441,2.61192542890935e-142
"Adult Smoking Rate","Homicide Rate",0.431453217900924,3.19530067723887e-141
"Children Under 6 Living in Poverty","At Least Bachelor Degree",-0.428949384239168,1.95503460793037e-139
"Voting Participation Rate","Avg. No. of Mentally Unhealthy Day",-0.42823319903525,6.30127050430651e-139
"Median Earning","Adult Smoking Rate",-0.428069045451309,8.23671900828178e-139
"Median Earning","Less Than High School",-0.427581008299713,1.82480872338471e-138
"At Least Bachelor Degree","Injury Death Rate",-0.427424565652538,2.35416420322274e-138
"African American Population","Unemployment Rate",0.426282705892345,1.50476622940956e-137
"Less Than High School","Infant Mortality",0.425165251962416,9.18074120706064e-137
"Median Earning","Uninsured Rate",-0.424906591308533,1.39397912818496e-136
"Poverty Rate","Adult Obesity Rate",0.423654925434915,1.04643721427558e-135
"Crime Rate","Homicide Rate",0.423375009423386,1.64054798340391e-135
"Adult Smoking Rate","Low Birth Weight Rate",0.420149005713448,2.83276128464678e-133
"Population Density","HIV Prevalence Rate",0.419867776872485,4.42674190076991e-133
"Less Than High School","Homicide Rate",0.419643134795299,6.32143493397405e-133
"Avg. No. of Mentally Unhealthy Day","Winter Avg. Temperature",0.418812293567699,2.35541786816483e-132
"Age Dependency Ratio","Graduate Degree",-0.417411275891809,2.1463864951668e-131
"Homogeneity Index","Uninsured Rate",-0.41636814300724,1.10471565900733e-130
"Poverty Rate","At Least Bachelor Degree",-0.415689202037839,3.19901507431848e-130
"Voting Participation Rate","Life Expectancy",0.415610592015716,3.61753049525763e-130
"Children in Single Parent Households Rate","Winter Avg. Temperature",0.41460273725534,1.74475458240571e-129
"Construction, Extraction, Maintenance, and Repair Occupations","At Least Bachelor Degree",-0.414445177844951,2.23021836977705e-129
"HIV Prevalence Rate","Sexually Transmitted Infections Rate",0.413794738466818,6.13570068623776e-129
"Republican Win 2012","White not Latino Population",0.413258299502761,1.41129001425093e-128
"Children Under 6 Living in Poverty","Uninsured Rate",0.412409850703725,5.25323003472709e-128
"Voting Participation Rate","Poverty Rate",-0.412311840961,6.11305127360246e-128
"Asian American Population","Median Earning",0.411844971972353,1.25760664990975e-127
"Median Earning","Adults 65 and Older Living in Poverty",-0.411782580871399,1.3847578789519e-127
"Infant Mortality","Avg. No. of Mentally Unhealthy Day",0.411611856490969,1.80213580109886e-127
"Voting Participation Rate","Adult Smoking Rate",-0.410125454269254,1.77464764685241e-126
"Adults 65 and Older Living in Poverty","Infant Mortality",0.409331104981296,5.99641983803423e-126
"Unemployment Rate","Management, Professional, and Related Occupations",-0.406961265837788,2.22297132213048e-124
"Graduate Degree","Injury Death Rate",-0.406846183135656,2.64731313105614e-124
"Republican Win 2016","Asian American Population",-0.406735609078906,3.13095023603956e-124
"Gini Coefficient","Children in Single Parent Households Rate",0.40669241105577,3.3430060628472e-124
"Adults 65 and Older Living in Poverty","Adult Obesity Rate",0.405776448646366,1.33853119002133e-123
"Children Under 6 Living in Poverty","Infant Mortality",0.405517341214007,1.98024293141007e-123
"Children Under 6 Living in Poverty","Management, Professional, and Related Occupations",-0.404552118255607,8.49194404915167e-123
"Homogeneity Index","Low Birth Weight Rate",-0.404514486790957,8.98702627749675e-123
"Poverty Rate","Management, Professional, and Related Occupations",-0.40437822898409,1.1033021920426e-122
"At Least Bachelor Degree","School Enrollment",0.403935569998683,2.14681872816824e-122
"Republican Win 2016","At Least Bachelor Degree",-0.403321597849994,5.39578648684259e-122
"Gini Coefficient","Sexually Transmitted Infections Rate",0.401925981780774,4.35259977631092e-121
"Median Earning","Life Expectancy",0.401667702779483,6.3983703539069e-121
"Management, Professional, and Related Occupations","School Enrollment",0.401058044561074,1.58648113538346e-120
"Homicide Rate","Winter Avg. Temperature",0.399657072997895,1.26924072226772e-119
"Homogeneity Index","Teen Birth Rate",-0.398998086747912,3.36389717688067e-119
"Gini Coefficient","Adults 65 and Older Living in Poverty",0.398491187800506,7.10878046882913e-119
"Gini Coefficient","Avg. No. of Physically Unhealthy Day",0.398315024548254,9.21708020713017e-119
"Children Under 6 Living in Poverty","Adult Obesity Rate",0.397850868975564,1.82585716714454e-118
"Voting Participation Rate","Management, Professional, and Related Occupations",0.396782249857339,8.77304582005139e-118
"Median Earning","Service Occupations",-0.395861852002955,3.37497001869466e-117
"Production, Transportation, and Material moving Occupations","Life Expectancy",-0.395329688555414,7.34059920246217e-117
"Median Earning","Teen Birth Rate",-0.395323344187297,7.40885223944276e-117
"Less Than High School","School Enrollment",-0.395309669418196,7.55812671783562e-117
"Construction, Extraction, Maintenance, and Repair Occupations","Graduate Degree",-0.394478334825074,2.53695315168023e-116
"HIV Prevalence Rate","Children in Single Parent Households Rate",0.394110902309633,4.32779917742675e-116
"Avg. No. of Mentally Unhealthy Day","Homicide Rate",0.392777078248059,2.99099439909751e-115
"Adults 65 and Older Living in Poverty","Avg. No. of Mentally Unhealthy Day",0.392662968641306,3.52744027128111e-115
"Republican Win 2016","Sexually Transmitted Infections Rate",-0.391648377608593,1.52485811009828e-114
"Adult Obesity Rate","Homicide Rate",0.39136937664542,2.27859513514556e-114
"Crime Rate","Winter Avg. Temperature",0.390944493068591,4.19749228609047e-114
"Adults 65 and Older Living in Poverty","Children in Single Parent Households Rate",0.390569606827109,7.19062576997154e-114
"Children Under 6 Living in Poverty","Sexually Transmitted Infections Rate",0.38865200243064,1.11641116995226e-112
"Child Poverty","Winter Avg. Temperature",0.387499922846309,5.74898963534589e-112
"Production, Transportation, and Material moving Occupations","Adult Smoking Rate",0.386262527847252,3.31813712801493e-111
"White not Latino Population","Gini Coefficient",-0.386109703856312,4.11804604197019e-111
"Voting Power","At Least Bachelor Degree",0.386040382674995,4.5417279794534e-111
"Life Expectancy","Sexually Transmitted Infections Rate",-0.385667824003651,7.68452894753392e-111
"HIV Prevalence Rate","Homicide Rate",0.385388227496173,1.13979916595182e-110
"African American Population","Adult Obesity Rate",0.385087520533934,1.74092518683151e-110
"African American Population","Children Under 6 Living in Poverty",0.384772044140967,2.71368484782827e-110
"At Least Bachelor Degree","Avg. No. of Mentally Unhealthy Day",-0.384730473389381,2.87704313119647e-110
"Adults 65 and Older Living in Poverty","Unemployment Rate",0.383542300141082,1.52405037703516e-109
"Asian American Population","Management, Professional, and Related Occupations",0.382932981340137,3.5739086364552e-109
"Sexually Transmitted Infections Rate","Avg. No. of Physically Unhealthy Day",0.382875066834822,3.87510845199737e-109
"Gini Coefficient","Diabetes Rate",0.38261845483391,5.54499382188448e-109
"African American Population","Adults 65 and Older Living in Poverty",0.380252330117919,1.48669194606226e-107
"Uninsured Rate","Life Expectancy",-0.379333972521728,5.28941088060775e-107
"Poverty Rate","Winter Avg. Temperature",0.377709662702473,4.94259779776744e-106
"Children in Single Parent Households Rate","Winter Avg. Precipitation",0.377556028515994,6.10193164971083e-106
"Voting Participation Rate","Median Age",0.377488479683933,6.69402133753202e-106
"Homogeneity Index","Homicide Rate",-0.377411199242122,7.44199710335801e-106
"Production, Transportation, and Material moving Occupations","Less Than High School",0.377202867524447,9.90010854946799e-106
"Unemployment Rate","Homicide Rate",0.375996782524406,5.14561045717605e-105
"Gini Coefficient","Low Birth Weight Rate",0.375984538081326,5.23224721908469e-105
"Age Dependency Ratio","Injury Death Rate",0.375883010549275,6.00900266035552e-105
"Diabetes Rate","Injury Death Rate",0.375154380397944,1.62028524307926e-104
"At Least Bachelor Degree","Infant Mortality",-0.375141955279313,1.64788919130413e-104
"Age Dependency Ratio","Farming, Fishing, and Forestry Occupations",0.375088544396521,1.77199015146769e-104
"Sexually Transmitted Infections Rate","Adult Smoking Rate",0.373869509119351,9.25881296659559e-104
"Low Birth Weight Rate","Winter Avg. Precipitation",0.373774072511266,1.0535219257796e-103
"Graduate Degree","School Enrollment",0.373461430582576,1.60787184235024e-103
"Voting Power","Graduate Degree",0.372798061505146,3.936974052088e-103
"Republican Win 2016","African American Population",-0.37263264438356,4.92038502762151e-103
"White not Latino Population","Children Under 6 Living in Poverty",-0.371923974541591,1.27708387444539e-102
"Teen Birth Rate","Injury Death Rate",0.370939693903158,4.78425302127936e-102
"African American Population","Gini Coefficient",0.368674905271273,9.81871597825155e-101
"Voting Participation Rate","Child Poverty",-0.366781014069814,1.20591496526779e-99
"African American Population","Avg. No. of Physically Unhealthy Day",0.366748226764703,1.25924307142469e-99
"Median Earning","Injury Death Rate",-0.366536024289897,1.66604149949674e-99
"White not Latino Population","Adults 65 and Older Living in Poverty",-0.36647953012348,1.79488772424833e-99
"Children in Single Parent Households Rate","Adult Obesity Rate",0.366377444893785,2.05343066148566e-99
"Voting Participation Rate","At Least Bachelor Degree",0.366340591078642,2.15562521654056e-99
"Infant Mortality","Sexually Transmitted Infections Rate",0.365867930217667,4.01656098540662e-99
"Republican Win 2016","Voting Power",-0.36513959390492,1.04579699113805e-98
"Unemployment Rate","Teen Birth Rate",0.364827862893283,1.57395825183898e-98
"Farming, Fishing, and Forestry Occupations","Uninsured Rate",0.364401612224233,2.75070445362657e-98
