"name","var_name","display_name","category","unit","meaning","formula_latex","lbound","ubound","remark","status","year","source"
"Low.birthweight","health_low_birth_weight","Low Birth Weight Rate","healthcare","%","percentage of births with low birth weight (<2,500g)","@frac{@text{number of births with low birth weight(< 2,500 g)}}{@text{number of births}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Teen.births","health_teen_birth","Teen Birth Rate","healthcare",NA,"number of females ages 15-19 pregnant per 1,000","@frac{@text{number of female age 15-19 pregnant}}{@text{number of female age 15-19}}@times{1000}",0,1000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Children.in.single.parent.households","health_children_with_single_parent","Children in Single Parent Households Rate","healthcare","%","percentage of children living in single-parent household","@frac{@text{number of children living in single-parent household}}{@text{number of children}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Adult.smoking","health_adult_smoking","Adult Smoking Rate","healthcare","%","percentage of adults that reported currently smoking","@frac{@text{number of adults reported currently smoking}}{@text{number of adults}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Adult.obesity","health_adult_obesity","Adult Obesity Rate","healthcare","%","percentage of adults that report BMI >= 30","@frac{@text{number of adults reported BMI} @geq 30}{@text{number of adults}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Diabetes","health_diabetes","Diabetes Rate","healthcare","%","percentage of adults that reported currently having diabetes","@frac{@text{number of adults currently reported having diabetes}}{@text{number of adults}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Sexually.transmitted.infections","health_sti","Sexually Transmitted Infections Rate","healthcare",NA,"number of Chlamydia case in population per 100,000","@frac{@text{number of people with Chlamydia}}{@text{total population}}@times{100000}",0,100000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"HIV.prevalence.rate","health_hiv","HIV Prevalence Rate","healthcare",NA,"number of people living with HIV infection in a given population at a given period of time per 100,000","@frac{@text{number of people currently reported living with HIV infection}}{@text{total population}}@times{100000}",0,100000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Injury.deaths","health_injury","Injury Death Rate","healthcare",NA,"injury mortality rate per 100,000","@frac{@text{number of injury deaths}}{@text{total population}}@times{100000}",0,100000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Infant.mortality","health_infant_mortality","Infant Mortality","healthcare",NA,"number of deaths of infants under 1 year old per 1,000 live births","@frac{@text{number of deaths of infants under 1 year old}}{@text{number of live birth}}@times{1000}",0,1000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Management.professional.and.related.occupations","occupation_management","Management, Professional, and Related Occupations","occupation","%","percentage of population having management, professional, and related occupations","@frac{@text{number of people having management, professional, and related occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Service.occupations","occupation_service","Service Occupations","occupation","%","percentage of population having service occupations","@frac{@text{number of people having service occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Sales.and.office.occupations","occupation_sale","Sales and Office Occupations","occupation","%","percentage of population having sales and office occupations","@frac{@text{number of people having sales and office occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Farming.fishing.and.forestry.occupations","occupation_agriculture","Farming, Fishing, and Forestry Occupations","occupation","%","percentage of population having agricultural occupations","@frac{@text{number of people having agricultural occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Construction.extraction.maintenance.and.repair.occupations","occupcation_maintainance","Construction, Extraction, Maintenance, and Repair Occupations","occupation","%","percentage of population having construction, extraction, maintenance, and repair occupations","@frac{@text{number of people having construction, extraction, maintenance, and repair occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Production.transportation.and.material.moving.occupations","occupation_transportation","Production, Transportation, and Material moving Occupations","occupation","%","percentage of population having production, transportation, and material moving occupations","@frac{@text{number of people having production, transportation, and material moving occupations}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"White.not.Latino.Population","population_white","White not Latino Population","race","%","percentage of  populaton identified themselves as white not latino","@frac{@text{number of people who idenfitied themselves as white (non-latino)}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"African.American.Population","population_african_american","African American Population","race","%","percentage of  populaton identified themselves as african american","@frac{@text{number of people who idenfitied themselves as african american }}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Native.American.Population","population_native","Native American Population","race","%","percentage of  populaton identified themselves as native american","@frac{@text{number of people who idenfitied themselves as native american }}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Asian.American.Population","population_asian","Asian American Population","race","%","percentage of  populaton identified themselves as asian american","@frac{@text{number of people who idenfitied themselves as asian american }}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Population.some.other.race.or.races","population_other","Other race(s) Population","race","%","percentage of  populaton identified themselves as other race","@frac{@text{number of people who idenfitied themselves as other races}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Latino.Population","population_latino","Latino Population","race","%","percentage of  populaton identified themselves as latino/hispanic","@frac{@text{number of people who idenfitied themselves as latino/hispanic }}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"White","_population_white","","race","%","percentage of  populaton identified themselves as white not latino","@frac{@text{number of people who idenfitied themselves as white (non-latino)}}{@text{total population}}@times{100}",0,100,"","duplicate of White.not.Latino.Population","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Black","_population_black","","race","%","percentage of  populaton identified themselves as african american","@frac{@text{number of people who idenfitied themselves as african american }}{@text{total population}}@times{100}",0,100,"","duplicate of African.American.Population","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Hispanic","_popuplation_hispanic","","race","%","percentage of  populaton identified themselves as latino/hispanic","@frac{@text{number of people who idenfitied themselves as latino/hispanic }}{@text{total population}}@times{100}",0,100,"","duplicate of Latino.Population","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Asian","_population_asian","","race","%","percentage of  populaton identified themselves as asian american","@frac{@text{number of people who idenfitied themselves as asian american }}{@text{total population}}@times{100}",0,100,"","duplicate of Asian.American.Population","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Amerindian","_population_amerindian","","race","%","percentage of  populaton identified themselves as native american","@frac{@text{number of people who idenfitied themselves as native american }}{@text{total population}}@times{100}",0,100,"","duplicate of Native.American.Population","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Other","_population_other","","race","%","percentage of  populaton identified themselves as other race","@frac{@text{number of people who idenfitied themselves as other races}}{@text{total population}}@times{100}",0,100,"","duplicate of Population.some.other.race.or.races","2009-2010","http://www.measureofamerica.org/download-agreement/"
"White_Asian","_population_white_asian","","race","%","percentage of  populaton identified themselves as white and asian","@frac{@text{number of people who idenfitied themselves as white or asian}}{@text{total population}}@times{100}",0,100,"","","2010","Kirkegaard"
"SIRE_homogeneity","population_homnogenity_index","Homogeneity Index","race",NA,"Simpson index (or 1 - Simpson diversity index)","1 - @frac{@sum{n(n-1)}}{N(N-1)}",0,1,"","","2010","Kirkegaard"
"CA","_ca","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"S","_s","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"MAR","_mar","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"CFS","_cfs","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"ACFS","_acfs","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"MeanALC","_mean_alc","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"MaxALC","_max_alc","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"Mixedness","_mixedness","","socioeconomic",NA,"a socioeconomic factor","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"X","_x","","technical",NA,"X Location on NYT election map data","",NA,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"Y","_y","","technical",NA,"y Location on NYT election map data","",NA,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"nearest_county","_weather_nearest_county","","technical","F","nearest county","",NA,NA,"computed based on the lat and longitude coordinates of counties to scrape for data of nearby weather station","","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"temp_bins","_weather_temp_bins","","technical",NA,"range of value for temperature calcualte from scraping algorithm","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"lat_bins","_weather_lat_bins","","technical",NA,"range of value for latitude calcualte from scraping algorithm","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"lon_bins","_weahter_long_bins","","technical",NA,"range of value for longitude calcualte from scraping algorithm","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"precip_bins","_weahter_precip_bins","","technical",NA,"range of value for precipitation calcualte from scraping algorithm","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"elevation_bins","_weather_elevation_bins","","technical",NA,"range of value for elevation calcualte from scraping algorithm","",NA,NA,"unknown meaning or method of calculation","","2010","Kirkegaard"
"annual_PRCP","_weather_annual_prcp","","weather","inch","annual precipitation","",0,NA,"","divide by 100 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"winter_PRCP","weather_winter_prcp","Winter Avg. Precipitation","weather","inch","winter precipitation","",0,NA,"during the election time","divide by 100 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"summer_PRCP","_weather_summer_prcp","","weather","inch","summer precipitation","",0,NA,"","divide by 100 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"spring_PRCP","_weather_spring_prcp","","weather","inch","spring precipitation","",0,NA,"","divide by 100 to get true value","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
