"name","var_name","display_name","category","unit","meaning","formula_latex","lbound","ubound","remark","status","year","source"
"African.American.Population","population_african_american","African American Population","race","%","percentage of  populaton identified themselves as african american","@frac{@text{number of people who idenfitied themselves as african american }}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Native.American.Population","population_native","Native American Population","race","%","percentage of  populaton identified themselves as native american","@frac{@text{number of people who idenfitied themselves as native american }}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Asian.American.Population","population_asian","Asian American Population","race","%","percentage of  populaton identified themselves as asian american","@frac{@text{number of people who idenfitied themselves as asian american }}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Population.some.other.race.or.races","population_other","Other race(s) Population","race","%","percentage of  populaton identified themselves as other race","@frac{@text{number of people who idenfitied themselves as other races}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Latino.Population","population_latino","Latino Population","race","%","percentage of  populaton identified themselves as latino/hispanic","@frac{@text{number of people who idenfitied themselves as latino/hispanic }}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"SIRE_homogeneity","population_homnogenity_index","Homogeneity Index","race",NA,"Simpson index (or 1 - Simpson diversity index)","1 - @frac{@sum{n(n-1)}}{N(N-1)}",0,1,"",NA,"2010","Kirkegaard"
"Gini.Coefficient","finance_gini_coef","Gini Coefficient","finance",NA,"income inequality index","@text{formula depends on distribution of income}",0,1,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Median.Earnings.2010.dollars","finance_median_earning","Median Earning","finance","dollars","median earning of individuals","",0,NA,"",NA,"2009-2010","http://www.measureofamerica.org/download-agreement/"
"Unemployment","demo_unemployment","Unemployment Rate","occupation","%","percentage of population age >= 16 unemployed and/or looking for job","@frac{@text{number of people age} @geq 16 @text{ unemployed and/or looking for job}}{@text{total population}}@times{100}",0,100,"",NA,"2016","http://www.countyhealthrankings.org/rankings/data"
"Management.professional.and.related.occupations","occupation_management","Management, Professional, and Related Occupations","occupation","%","percentage of population having management, professional, and related occupations","@frac{@text{number of people having management, professional, and related occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Service.occupations","occupation_service","Service Occupations","occupation","%","percentage of population having service occupations","@frac{@text{number of people having service occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Sales.and.office.occupations","occupation_sale","Sales and Office Occupations","occupation","%","percentage of population having sales and office occupations","@frac{@text{number of people having sales and office occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Farming.fishing.and.forestry.occupations","occupation_agriculture","Farming, Fishing, and Forestry Occupations","occupation","%","percentage of population having agricultural occupations","@frac{@text{number of people having agricultural occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Construction.extraction.maintenance.and.repair.occupations","occupcation_maintainance","Construction, Extraction, Maintenance, and Repair Occupations","occupation","%","percentage of population having construction, extraction, maintenance, and repair occupations","@frac{@text{number of people having construction, extraction, maintenance, and repair occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"Production.transportation.and.material.moving.occupations","occupation_transportation","Production, Transportation, and Material moving Occupations","occupation","%","percentage of population having production, transportation, and material moving occupations","@frac{@text{number of people having production, transportation, and material moving occupations}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
"At.Least.Bachelor.s.Degree","education_at_least_bachelor","At Least Bachelor Degree","education","%","percentage of population with at least bachelor degree","@frac{@text{number of people with at least bachelor degree}}{@text{total population}}@times{100}",0,100,"",NA,"2009-2010","http://www.measureofamerica.org/download-agreement/"
"Graduate.Degree","education_graduate_degree","Graduate Degree","education","%","percentage of population with graduate degree","@frac{@text{number of people with at least graduate degree}}{@text{total population}}@times{100}",0,100,"",NA,"2009-2010","http://www.measureofamerica.org/download-agreement/"
"School.Enrollment","education_school_enrollment","School Enrollment","education","%","percentage of school enrollment","@frac{@text{number of  actual students enrolled}}{@text{number of potential students enrolled}}@times{100}",0,100,"",NA,"2009-2010","http://www.measureofamerica.org/download-agreement/"
"Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","education_preschool_enrollment","Preschool Enrollment Ratio","education","%","percentage of preschool enrollment (between 3 and 4 years old)","@frac{@text{number of actual children (between 3 and 4 years old) enrolled in preschool}}{@text{number of potential children enrolled in preschool}}@times{100}",0,100,"",NA,"2009-2010","http://www.measureofamerica.org/download-agreement/"
"Uninsured","demo_uninsured","Uninsured Rate","healthcare","%","percentage of population under 65 without insurance","@frac{@text{number of people under 65 without insurance}}{@text{total population}}@times{100}",0,100,"",NA,"2016","http://www.countyhealthrankings.org/rankings/data"
"Infant.mortality","health_infant_mortality","Infant Mortality","healthcare",NA,"number of deaths of infants under 1 year old per 1,000 live births","@frac{@text{number of deaths of infants under 1 year old}}{@text{number of live birth}}@times{1000}",0,1000,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"HIV.prevalence.rate","health_hiv","HIV Prevalence Rate","healthcare",NA,"number of people living with HIV infection in a given population at a given period of time per 100,000","@frac{@text{number of people currently reported living with HIV infection}}{@text{total population}}@times{100000}",0,1e+05,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"Sexually.transmitted.infections","health_sti","Sexually Transmitted Infections Rate","healthcare",NA,"number of Chlamydia case in population per 100,000","@frac{@text{number of people with Chlamydia}}{@text{total population}}@times{100000}",0,1e+05,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"Children.in.single.parent.households","health_children_with_single_parent","Children in Single Parent Households Rate","healthcare","%","percentage of children living in single-parent household","@frac{@text{number of children living in single-parent household}}{@text{number of children}}@times{100}",0,100,"",NA,"2016","http://www.countyhealthrankings.org/rankings/data"
"Adult.obesity","health_adult_obesity","Adult Obesity Rate","healthcare","%","percentage of adults that report BMI >= 30","@frac{@text{number of adults reported BMI} @geq 30}{@text{number of adults}}@times{100}",0,100,"",NA,"2016","http://www.countyhealthrankings.org/rankings/data"
"Diabetes","health_diabetes","Diabetes Rate","healthcare","%","percentage of adults that reported currently having diabetes","@frac{@text{number of adults currently reported having diabetes}}{@text{number of adults}}@times{100}",0,100,"",NA,"2016","http://www.countyhealthrankings.org/rankings/data"
"Low.birthweight","health_low_birth_weight","Low Birth Weight Rate","healthcare","%","percentage of births with low birth weight (<2,500g)","@frac{@text{number of births with low birth weight(< 2,500 g)}}{@text{number of births}}@times{100}",0,100,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"Injury.deaths","health_injury","Injury Death Rate","healthcare",NA,"injury mortality rate per 100,000","@frac{@text{number of injury deaths}}{@text{total population}}@times{100000}",0,1e+05,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"Violent.crime","demo_violent_crime","Crime Rate","crime",NA,"number of crimes reported to law enforcement agencies per 100,000 total population","@frac{@text{number of violent crimes}}{@text{total population}}@times{100000}",0,1e+05,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"Homicide.rate","demo_homicide","Homicide Rate","crime",NA,"homicide mortality rate per 100,000 total population","@frac{@text{number of homicide crimes}}{@text{total population}}@times{100000}",0,1e+05,"",NA,"2014-2016","http://www.countyhealthrankings.org/rankings/data"
"winter_PRCP","weather_winter_prcp","Winter Avg. Precipitation","weather","inch","winter precipitation","",0,NA,"during the election time",NA,"1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"winter_TAVG","weather_winter_tavg","Winter Avg. Temperature","weather","F","winter average temperature","",-200,200,"during the election time",NA,"1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"pc1_g1","pc1_g1","(PC) Healthcare Quality for Low Income Population","finance",NA,"general healthcare quality received by the low-income population","computed based on the rotation and scaled/standardized values of the original features, consisting of: life expectancy, less than high school, avg. no. of physically unhealthy day, avg. no. of mentally unhealthy day, adult smoking rate, teen birth rate, child poverty, poverty rate, adults 65 and older living in poverty, children under 6 living in poverty",NA,NA,"higher is better",NA,"2010-2016","various"
"pc2_g1","pc2_g1","(PC) Adult Smoking Related Health Problem Rate","healthcare",NA,"adult smoking-related health problem rate","computed based on the rotation and scaled/standardized values of the original features, consisting of: life expectancy, less than high school, avg. no. of physically unhealthy day, avg. no. of mentally unhealthy day, adult smoking rate, teen birth rate, child poverty, poverty rate, adults 65 and older living in poverty, children under 6 living in poverty",NA,NA,"lower is better",NA,"2010-2016","various"
"pc3_g1","pc3_g1","(PC) Child Poverty Rate","finance",NA,"child poverty rate","computed based on the rotation and scaled/standardized values of the original features, consisting of: life expectancy, less than high school, avg. no. of physically unhealthy day, avg. no. of mentally unhealthy day, adult smoking rate, teen birth rate, child poverty, poverty rate, adults 65 and older living in poverty, children under 6 living in poverty",NA,NA,"lower is better",NA,"2010-2016","various"
"pc4_g1","pc4_g1","(PC) Teen Birth Rate","healthcare",NA,"teen birth rate","computed based on the rotation and scaled/standardized values of the original features, consisting of: life expectancy, less than high school, avg. no. of physically unhealthy day, avg. no. of mentally unhealthy day, adult smoking rate, teen birth rate, child poverty, poverty rate, adults 65 and older living in poverty, children under 6 living in poverty",NA,NA,"lower is better",NA,"2010-2016","various"
