"name","type","mean","sd","median","lquartile","uquartile","iqr","min","max","n","missing","missing_percent","entropy"
"occupation_transportation","double","16.08489","5.944055","15.7","11.7","20","8.3","1.2","39.5","3110","0","0","7.825159"
"education_less_than_high_school","double","16.92804","7.339994","15.4","11.5","21.6","10.1","0.7","52.1","3110","0","0","8.010027"
"education_at_least_bachelor","double","19.00814","8.659565","16.8","13.1","22.575","9.475","3.7","71","3110","0","0","8.069904"
"education_graduate_degree","double","6.447781","3.861036","5.3","4","7.7","3.7","0","40.6","3110","0","0","6.783531"
"education_school_enrollment","double","75.6082","5.095307","75.8","72.9","78.6","5.7","37.8","100","3110","0","0","7.560851"
"education_preschool_enrollment","double","42.95642","14.38681","43.1","34.7","51.6","16.9","0","100","3110","0","0","8.893327"
"demo_uninsured","double","0.1739627","0.05392543","0.171","0.135","0.20775","0.07275","0.03","0.395","3110","0","0","7.677862"
"healthcare_life_expectancy","double","77.19249","2.182886","77.38759","75.6776","78.79139","3.113782","68.43128","83.19254","3110","0","0","11.59755"
"health_infant_mortality","double","7.257489","1.846484","7.224844","5.906277","8.096132","2.189855","2.42381","19.9","3110","0","0","6.913464"
"health_hiv","double","161.6118","214.1935","90.9144","62.59075","187.7922","125.2015","10.262","3623.475","3110","0","0","10.37246"
"health_sti","double","339.3812","222.7266","283.5","194.55","420.55","226","18.6782","2257.1","3110","0","0","11.06228"
"health_poor_physiscal_health_days","double","3.80717","0.7373398","3.7","3.3","4.3","1","2.2","6.5","3110","0","0","4.872871"
"health_poor_mental_health_days","double","3.677331","0.6137462","3.7","3.2","4.1","0.9","2.1","5.6","3110","0","0","4.626414"
"health_children_with_single_parent","double","0.3244633","0.1030493","0.318","0.26","0.379","0.119","0","1","3110","0","0","8.498908"
"health_adult_smoking","double","0.1835","0.03697463","0.178","0.157","0.20675","0.04975","0.069","0.4","3110","0","0","7.102822"
"health_adult_obesity","double","0.3094926","0.04468019","0.312","0.285","0.337","0.052","0.107","0.466","3110","0","0","7.411287"
"health_diabetes","double","0.1114717","0.02274084","0.109","0.096","0.125","0.029","0.051","0.228","3110","0","0","6.4549"
"health_low_birth_weight","double","0.08174719","0.0211964","0.08","0.07","0.09","0.02","0.02784615","0.28","3110","0","0","3.224305"
"health_teen_birth","double","41.46671","18.75616","39.36869","27.4","53.4","26","3.7","123.7","3110","0","0","9.306727"
"health_injury","double","77.67702","24.08618","75.1","61.825","89.8","27.975","25.5","277","3110","0","0","9.503165"
"demo_violent_crime","double","245.4682","193.1158","197.64","111.045","321.82","210.775","0","1885.3","3110","0","0","11.35698"
"demo_homicide","double","5.612665","3.45907","5.319736","3.404762","6.62886","3.224098","0.6","44.8","3110","0","0","7.002643"
"weather_winter_prcp","double","8.109904","5.154442","8.075714","3.382146","11.37","7.987854","0.7166667","40.70333","3110","0","0","11.11894"
"weather_winter_tavg","double","34.39755","10.94738","34.22556","26.48125","42.35833","15.87708","4.7","69.73333","3110","0","0","10.34484"
